Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo Municipio INE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;email;Web;Entidad_Titular;Naturaleza;Sector;Tipo;Subtipo
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN AUTONOMÍA FUNCIONAL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE MANTENIMIENTO Y RECUPERACION DE LA AUTONOMIA FUNCIONAL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE ESTIMULACIÓN COGNITIVA;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE ESTIMULACIÓN COGNITIVA;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE HABILITACIÓN PSICOSOCIAL PARA PERSONAS CON E.M. O D.INTEL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE HABILITACIÓN PSICOSOCIAL PARA PERSONAS CON E.M. O D.INTEL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
GESTIÓN DE CENTRO DE ESTANCIAS DIURNAS;30/09/2021;CALLE AMAYA 13;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 303158;;;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;PERSONAS MAYORES;Servicio;( 28.3  ) Servicio de atención en centros de día para personas mayores en situación de dependencia
SERVICIO DE  ESTIMULACIÓN COGNITIVA;30/09/2021;AVENIDA SEVERO OCHOA 2,1ºIZDA;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;686 045199;;;;ASOCIACIÓN DE ENFERMOS DE FIBROMIALGIA ARÉVALO;ASOCIACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE  HABILITACIÓN Y TERAPIA OCUPACIONAL;30/09/2021;AVENIDA SEVERO OCHOA 2,1ºIZDA;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;686 045199;;;;ASOCIACIÓN DE ENFERMOS DE FIBROMIALGIA ARÉVALO;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE APOYO A LA PERMANENCIA EN EL DOMICILIO: COMEDOR, LAVANDERIA, PELUQUERIA, PODOLOGIA;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;PERSONAS MAYORES;Servicio;Apoyo a la permanencia de personas mayores en su domicilio
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE HABILITACIÓN PSICOSOCIAL PARA PERSONAS CON E.M. O D.INTEL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN AUTONOMÍA FUNCIONAL;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE ESTIMULACIÓN COGNITIVA;30/09/2021;PASEO SAN JUAN BOSCO (DE) 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301400;;;;CASTA SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
PROYECTO MEJORA;01/03/2011;PASEO SAN JUAN BOSCO (DE) , Nº 1;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;;;;;ASOCIACIÓN JUVENIL CENTRO JUVENIL BOSCOAREVALO;ASOCIACIÓN;INFANCIA (Y JUVENTUD);Servicio;Prevención
SERVICIO DE ESTIMULACIÓN COGNITIVA;09/07/2024;CALLE AMAYA 13;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 303158;;;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE HABILITACIÓN PSICOSOCIAL PARA PERSONAS CON E.M. O D.INTEL;30/09/2021;CALLE AMAYA 13;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 303158;;;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Promoción de la autonomía personal: Habilitación psicosocial para personas con E.M. o D. Intel.
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;30/09/2021;CALLE AMAYA 13;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 303158;;;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN AUTONOMÍA FUNCIONAL;30/09/2021;CALLE AMAYA 13;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 303158;;;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE AYUDA A DOMICILIO;23/08/2023;AVENIDA SEVERO OCHOA 2, LOCAL 1;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 300411;;;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;PERSONAS MAYORES;Procedimiento, Servicio;Ayuda a domicilio especializada (Alzheimer)
SOCIOCULTURAL;01/02/2008;AVENIDA SEVERO OCHOA 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;636 848757;;;;ASOCIACIÓN DE ALUMNOS Y EXALUMNOS DE LA UNIVERSIDAD DE LA EXPERIENCIA;ASOCIACIÓN;PERSONAS MAYORES;Residencia, Servicio;Sociocultural
SERVICIO DE PREVENCION;24/08/2022;PASEO SAN JUAN BOSCO (DE) 1;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;;;;;FEDERACIÓN DE CENTROS JUVENILES VALDOCO;FEDERACIÓN-CONFEDERACIÓN;INFANCIA (Y JUVENTUD);Servicio;Prevención
PROGRAMA DE INFORAMCION Y ASESORAMIENTO;05/03/2007;AVENIDA SEVERO OCHOA 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;;;;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;PERSONAS MAYORES;Centro de día, Servicio;Información sobre Alzheimer
PROGRAMA DE APOYO PSICOLOGICO;05/03/2007;AVENIDA SEVERO OCHOA 2;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 303158;;;;ASOCIACIÓN FAMILIARES DE ENFERMOS DE ALZHEIMER DE ARÉVALO Y COMARCA - AFA ARÉVALO Y COMARCA;ASOCIACIÓN;PERSONAS MAYORES;Servicio;Apoyo psicológico, grupos de autoayuda (Alzheimer)
PROMOCIÓN INDIVIDUAL Y REINSERCIÓN SOCIAL;24/08/2022;CALLE BAJADA DEL CASTILLO  3;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;921 301626;;;;ASOCIACIÓN GITANA AREVALENSE AMARI GOLE;ASOCIACIÓN;INCLUSIÓN SOCIAL-[ME];Servicio;Promoción individual y reinserción social
TALLER OCUPACIONAL SOCIOLABORAL PARA MINUSVALIDOS;23/08/2011;CALLE DESCALZOS (DE LOS) 83- C.P. "LA MORAÑA";05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 302408;;;;ASOCIACIÓN  NUEVO AMANECER EN ARÉVALO;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Formación ocupacional
PROMOCIÓN Y FORMACIÓN DE LA MUJER;24/08/2022;LOCALES COLEGIO MENOR;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 303250;;;;ASOCIACIÓN EL ARRABAL;ASOCIACIÓN;MUJER;Servicio;Promoción de la mujer
INFORMACION, ORIENTACIÓN Y ASESORAMIENTO (ALCOHOLISMO);05/03/2007;AVENIDA SEVERO OCHOA S/N;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301779;;;;ASOCIACIÓN ZONA AREVALO DE ALCOHÓLICOS REHABILITADOS (AZAAR);ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Información y orientación a la población general
PROMOCIÓN DE LA MUJER;24/08/2022;SEVERO OCHOA, S/N;05;05016;AVILA;AREVALO;05200;MORAÑA - ARÉVALO;920 301352;;;;ASOCIACIÓN DE AMAS DE CASA DE LA AMAYA;ASOCIACIÓN;MUJER;Servicio;Promoción de la mujer
